FIPS Code,County Name
001,Allegany 
003,Anne Arundel
005,Baltimore
009,Calvert
011,Caroline
013,Carroll
015,Cecil
017,Charles
019,Dorchester
021,Frederick
023,Garrett
025,Harford
027,Howard
029,Kent
031,Montgomery
033,Prince George's
035,Queen Anne's
037,St. Mary's
039,Somerset
041,Talbot
043,Washington
045,Wicomico
047,Worcester
