B01003_001E,State,FIPS Code
74021,24,001
550488,24,003
817455,24,005
89628,24,009
32718,24,011
167217,24,013
101696,24,015
150592,24,017
32551,24,019
239582,24,021
29854,24,023
248622,24,025
299430,24,027
20191,24,029
1004709,24,031
881138,24,033
48595,24,035
59702,24,037
108987,24,039
26253,24,041
38098,24,043
149180,24,045
51578,24,047
